,title,news,type
0,SEBI gives approval for TVS Supply Chain IPO,"Special Correspondent CHENNAI  TVS Supply Chain Solutions Ltd. (TVS SCS) has received the Securities and Exchange Board of India (SEBI) approval for its proposed initial public offering (IPO).  The company had filed papers with SEBI on February 11 for an IPO comprising fresh issue of ₹2,000 crore and an offer for sale of up to 595 lakh equity shares.  Prepay debt  The company will use a large part of the net proceeds from the IPO to repay or prepay outstanding borrowings, it said in its draft red herring prospectus.  JM Financial Ltd., Axis Capital Ltd., JP Morgan India Pvt. Ltd., BNP Paribas, Edelweiss Financial Services Ltd. and Equirus Capital Pvt. Ltd., are the bankers to the issue.  TVS SCS is an integrated supply chain and logistics solutions provider to Indian industry and also operates globally. It is currently present in more than 25 countries and services more than 55 Fortune 500 companies.  It was originally promoted by the TVS Group and is now part of the TVS Mobility Group.  The mobility group of TVS has four business verticals viz. supply chain solutions, manufacturing, auto distribution and after-market sales and service.",Business
1,LIC IPO subscribed 2.95 times,"Special Correspondent Mumbai / New Delhi  The Initial Public Offering (IPO) of Life Insurance Corporation of India (LIC) was subscribed 2.95 times as bids closed on the final day of the offer, according to data from stock exchanges.  The portion reserved for eligible policyholders was subscribed 6.12 times and that for eligible employees was subscribed 4.4 times, while the retail category witnessed 1.99 times subscription; the non-institutional category was subscribed 2.91 times and qualified institutional buyers subscribed 2.83 times.  The offer received bids for 47,83,67,010 shares against the offer size of 16,20,78,067 equity shares, excluding shares meant for anchor investors, as per data available at 7 pm on the stock exchanges showed.  The offer is expected to yield about ₹20,500 crore to the exchequer, top Finance Ministry officials said.  “The offer... has met with a tremendous success with a good response from all categories of investors, including policyholders and retail investors,” Tuhin Kanta Pandey, Secretary, Department of Investment and Public Asset Management (DIPAM) said at a press conference. The government is offloading 3.5% of its stake in the firm, whose shares are to be listed on the stock exchanges on May 17.  Asserting that the issue was largely subscribed to by domestic investors, the Mr. Pandey aid it could be considered an example of ‘AtmaNirbhar Bharat’ that such a large issue has been organised smoothly with investors across the country showing the capacity to deliver “rather than depend on foreign... investors”. Though the issue size was pegged at ₹21,000 crore, the government expects to raise ₹20,500 crore from the IPO because of the discounts offered to retail investors and policyholders.",Business
2,Money Talks: Navigating unemployment two years into the pandemic,"n April 2020, we reached out to screenwriters Ryan and Julie (not their real names) to learn how the entertainment industry was dealing with the still-nascent pandemic. Ryan was earning $18 an hour prior to being laid off; Julie was earning $16.50 in a union-protected job. Now that Hollywood is effectively back in business, we got back in touch with Ryan and Julie, now aged 41 and 34, to learn how Covid-19 changed the industry — and how these changes have affected their lives and finances.  Ryan: I was on unemployment until October 2020, right when the end of the extra government unemployment money went away, and I got a call for a job. It timed out perfectly for me. I got hired as a showrunner’s assistant for my old boss, and I ended up being on that for a year. It was a year of income, and I ended up getting promoted to writer. I ended up getting 14 weeks of a writer’s paycheck, which was literally five times what I was making as an assistant.  Things were great for a while after that!",Business
3,Smartphone market to stay subdued: IDC,"Yuthika Bhargava NEW DELHI  The Indian smartphone market, which declined by 5% in the January-March 2022 period, is likely to remain subdued for the rest of the year due to lower demand amid rising inflation and lengthening of the smartphone refresh cycles, according to IDC.  India’s smartphone shipments declined for the third consecutive quarter, shipping 37 million units in the first quarter of 2022, a 5% year-on-year decline, as per data released by the research firm.  Xiaomi continued to lead the market with 32% share including sub-brand POCO, followed by brands such as Samsung, Realme, Vivo and Oppo.",Business
4,NTPC invites bids to import 4.53 million tonnes of coal,"RESS TRUST OF INDIA New Delhi  State-owned power giant NTPC has invited bids to procure 4.53 million tonnes (MT) of imported coal, mainly for blending with the domestic dry fuel in thermal plants.  The tender assumes significance in view of the ongoing dry fuel shortage at power plants. Earlier this month, the Power Ministry had directed all the States and gencos to import at least 10% of their requirement of coal for blending amid shortages at thermal plants.  The tender documents showed that NTPC has floated three separate tenders for procuring 4.53 MT — 1.5 MT, 1.6MT and 1.43 MT — of imported coal on May 7, 2022.  The company had invited bids to procure 4.93 MT of imported coal last month.  It has been mandated to procure 20 MT of imported coal in 2022-23 for blending with the domestic dry fuel at its thermal plants because of the ongoing shortage.  The NTPC has invited bids for procurement of 1.43 MT of imported coal on FOR (Freight On-Road) power station basis for NTPC plants at Vindhyachal, Rihand, Singrauli, Khargone, Dadri, Tanda and Unchahar.  Bids were also invited for the procurement of 1.6 MT of imported coal on a power station basis for NTPC plants at Talcher Kaniha, Farakka, Kahalgaon, Barh, Barauni, Bongaigaon, Simhadri and Ramagundam.  Bids were invited for the procurement of 1.5 MT of imported coal to supply the dry fuel at thermal plants located at the Kudgi, Solapur, Sipat, Mouda, Gadarwara, Lara and Korba power plants.",Business
5,Škoda unveils Kushaq Monte Carlo range,"Škoda Auto India has introduced the Kushaq Monte Carlo range at a starting price of ₹15.99 lakh, ex-showroom.  The top end of the Kushaq Monte Carlo is priced at ₹19.49 lakh (ex-showroom) for a 1.5 TSI 7-speed DSG engine. This edition of the Kushaq would be available exclusively in Tornado Red and Candy White, Škoda said. The Kushaq is its second product in India to adorn the exclusive Monte Carlo badge after the Rapid.",Business
6,HCL arm to acquire Quest Informatics for ₹15 crore,"HCL Technologies on Monday said it would acquire Bengaluru-based Quest Informatics Private Limited (Quest), an aftermarket, digital transformation company, in an all-cash deal.  In an communique to the stock exchange, the company said Sankalp Semiconductors, a wholly owned step-down subsidiary of HCL, was acquiring 100% stake in Quest Informatics Private Ltd. for a purchase consideration of ₹15 crore.",Business
7,Industrial licences: Special govt. drive,"New Delhi, May 9: The Industrial Development Minister, Mr. Moinul Haq Choudhury, to-day said a special drive would be launched shortly to ensure speedy implementation of the licences issued for various industrial projects in the country. Replying to a four-hour discussion in the Rajya Sabha on the working of his Ministry, Mr. Choudhury said the proposed drive would enable the Ministry to review the licensing process systematically, to revoke licences where necessary and to assist the entrepreneurs with speedy clearance where called for. He said the drive would be conducted by a regular committee of officers. The hour-long reply of Mr. Choudhury was marked by frequent interruptions by Mr. Bhupesh Gupta (CPI) who repeatedly levelled charges against the Minister who emphatically denied them. Mr. Choudhury said the game of praising some Ministers and running down others had been going on for the past few years. This was aimed at dividing the Congressmen and they would see through it. Raising his voice, he remarked: “I am not a Minister here at the mercy of anybody.” He denied there was any proposal under consideration to bring some labour-oriented industries from abroad.   ",Business
8,Why more Americans than ever are starting their own businesses,"While millions of Americans are quitting their jobs in search of better employment, many of them are doing so in the hope of never having to work for someone else ever again.  The pandemic has, at least for the time being, halted — and perhaps reversed — a decadeslong decline in the pace of entrepreneurship. Americans applied for a record 5.4 million business ID numbers in 2021, according to census data that goes back to 2004. 2022 is already on track to be a record year as well, according to projections from QuickBooks. While data on true business formations is available only through 2019, growth in ID number applications is closely related to actual business formations. Other datasets, including Bureau of Labor Statistics data that shows a rise in self-employed people as well as data from a number of companies that offer small business tools, bear out the trend toward record entrepreneurism.  The recent growth in new businesses has big implications for the Americans starting them and the people who used to employ them, as well as for the future of government policy and the resilience of the economy in general.  Part of what makes this rise of new businesses important is that it encompasses a broader segment of society than in years past. Women, Black Americans, and those without college degrees are starting a much larger share of online microbusinesses than before the pandemic, according to data from Venture Forward, a research initiative from GoDaddy, a web domain company that’s increasingly offering other small business tools. Women started 57 percent of those businesses since March 2020 compared with 48 percent before; Black Americans founded 26 percent, up from 15 percent pre-pandemic; and Americans without college degrees founded 44 percent compared with 36 percent. In 2020, the rate of women and people of all ethnicities starting businesses of all types increased sharply, according to Kauffman Indicators of Entrepreneurship (2021 data will be out in February).",Business
9,‘Hilton India to double presence in five years’,"Mini Tejaswi Bengaluru  Hilton Worldwide, a global hospitality chain headquartered in Virginia, has plans to double its presence in the country in the next five years, said Navjit Ahluwalia, senior vice-president and country head, Hilton India.  “We are planning to double our presence in India in the next five years,” he said. “We have 14 hotels currently under development in the country with some 10 builders and the pipeline keeps growing,’‘ Mr. Ahluwalia told The Hindu.  These hotels, planned under multi-brands would come up in Varanasi, Jabalpur, Mumbai, and in other parts of the country, and would be operational in the next three years, he said.   He said the hospitality industry in India was expected to rebound and reach pre-COVID-era numbers between the October 2022 and March 2023 time frame.  “Domestic leisure-travel segment has also been picking up significantly, a trend we are seeing in China as well. We are expecting an overall recovery in the third quarter of calendar 2022.”",Business
