,title,news,type
48,Marcos Jr. leads in Philippines elections,"Agence France-Presse Manila  The son of late Philippines dictator Ferdinand Marcos on Tuesday headed for a historic landslide victory in the country’s presidential election, after Filipinos brushed aside warnings about weakening of their already fragile democracy.  Nearly 40 years after his namesake father was deposed by a popular revolt and his family chased into exile, Ferdinand Marcos Jr. had garnered more than double the number of votes of his nearest rival, according to an unofficial tally of results.  With more than 84% of precincts reporting, Mr. Marcos had received over 27 million votes against liberal candidate Leni Robredo’s 12.9 million.  If sustained, the tally — published by local media from Commission on Elections figures — would make Mr. Marcos the first Philippine President since his father’s ouster to be elected with an absolute majority.  Historic turnaround  It would also signal an astonishing turnaround for the fortunes of the Marcos clan, who have come from being pariahs to in reach of the presidential palace in a generation.  Mr. Marcos’ campaign was marked by a relentless online whitewashing of his father’s brutal and corrupt regime, as well as an embrace of current authoritarian President Rodrigo Duterte, who retains widespread popular support.  Before polling day, rights activists, Catholic leaders and political analysts had warned Mr. Marcos could rule with an even heavier fist if he wins by a large margin.  Delivering a late-night address from his campaign headquarters in Manila, a tired but beaming Mr. Marcos thanked volunteers for months of “sacrifices and work”. But he stopped short of claiming victory, warning that “the count is not yet done”.  “Let’s wait until it’s very clear, until the count reaches a hundred percent then we can celebrate.”",Politics
49,"BJP Leader's Arrest: Punjab Cops Stopped In Haryana, Kidnap Case In Delhi","New Delhi: Delhi BJP leader Tajinder Pal Singh Bagga was arrested on Friday morning from his Delhi residence by the Punjab police on charges of making provocative statements, promoting religious enmity, and criminal intimidation. The Punjab police team taking Mr Bagga to Mohali was stopped en route by Haryana cops after the Delhi police registered a kidnapping case based on a complaint by Mr Bagga's father.   In a video statement, Delhi BJP spokesperson Naveen Kumar Jindal claimed around 50 cops barged into Mr Bagga's Delhi home at around 8:30 in the morning and arrested him. ""He couldn't even wear his turban,"" he said.  Mr Bagga's father has claimed that he was punched in the face when he attempted to capture the incident on video. Talking to news agency ANI, he said, ""This morning, 10-15 police personnel came to our home and dragged Tajinder out. When I picked up my mobile phone to record a video of the incident, police took me to another room and punched me in the face.""  The Punjab police say they had sent notice to Mr Bagga five times to join the investigation but he refused to comply.   Mr Bagga will now be taken to a Punjab court after legal action in Delhi. The complaint was registered with the cyber cell at Sahibzada Ajit Singh Nagar in Punjab's Mohali district.  Mr Bagga has been very vocal against Arvind Kejriwal on social media. He came under fire from the AAP, which is ruling both Delhi and Punjab, for his tweet against Mr Kejriwal over 'The Kashmir Files' movie.",Politics
50,"""Was Hit 30 To 35 Times"": Hyderabad Woman On Husband's Murder In Public","Hyderabad: Her husband was beaten to death with an iron road on a busy road in Hyderabad and a crowd couldn't save him, though she begged for help. Syed Ashrin Sulthana later told the police the killers were her brother and his friends. She wants them brought to justice. Newlywed Sulthana entered her husband B Nagaraju's home for the first time after his death two days ago. She says she will live in his childhood home, with his memories, till the day she dies.  Nagaraju, a Hindu, died instantly after the attack by his Muslim wife's brother.  Dazed with grief, Sulthana, 21, holds tight to a framed photo of Nagaraju as Lord Krishna as she speaks to NDTV on the horror of Wednesday evening.  ""My husband and I were going on a bike. He slowed down a little to cross the road, suddenly two bikes came. I didn't realise my brother was on one of them. They pushed my husband, he fell. They started hitting him with rods. When I tried to save him, my brother's friends pushed me. I pleaded for help but people took videos,"" she said.  It was all over within moments, but she felt people had enough time to intervene and stop the attack. She feels she wasted precious seconds asking for help that never came.  ""In 10 to 15 minutes, my husband was hit 30 to 35 times with a rod. They hit my husband on his brain.  When he died and when I touched his head, my hand went right through... his brain had spilled out. I wasted my time asking people for help, trusting society. I could have used that time to do something more to help my husband. My husband didn't even realise my brother killed him... Twenty people could have stopped four people.""  Nagaraju, a 25-year-old car salesman, and Sulthana, married on January 31, defying her family, which was rabidly opposed to her marrying outside her faith.  But the two had known each other since school and were madly in love. Their love, they felt, would prevail and win. Religion had never bothered them before.  ""There was always a threat from my family. I had told Raju to marry someone else as there was a problem. I tried to persuade him for two months. But he said we will live together and die together. Even if we have to go somewhere far away after marriage. He said I am ready to die for you. Today, my husband did end up dying, because of me. I feel if I had let him marry someone else, he would have lived,"" Sulthana shared.  ""Being here, in Raju's childhood home, I feel like I am with him.""  Her mother-in-law presses her to drink her juice and she does, reluctantly -  two women, united in grief.  Sulthana cannot get the gruesome images out of her mind - her husband lying lifeless on the road, his head a mess of blood, flesh and bits of brain.  In the 10 years she had known Nagaraju, Sulthana had never seen him in pain. Yet she saw him die in the most horrific way.  ""I thought I couldn't even survive one minute without my husband. But I am here, talking to you, because I am angry with my brother. All I want is that they suffer for how my husband died,"" she said.  ""My brother beat me the day before my wedding, on January 30. He locked me in a room and told me to hang myself.""",Politics
51,"Amid rising violence, Mahinda Rajapaksa quits as Sri Lanka PM","Meera Srinivasan COLOMBO  Sri Lanka’s Prime Minister Mahinda Rajapaksa resigned on Monday, his office said, hours after his supporters brutally assaulted peaceful anti-government protesters amid a worsening economic crisis in the island.  The resignation was accepted, according to a gazette notification, and consequently, the Cabinet stands dissolved as per the Sri Lankan Constitution.  Three persons died outside the capital in ensuing clashes, while at least 150 were injured in Colombo. Government MP Amarakeerthi Athukorala reportedly shot two persons and then himself after being surrounded by a mob in the neighbouring Gampaha district, the police told AFP. Homes of several ruling party lawmakers were torched, while some among anti-government protesters assaulted government supporters who turned up in Colombo, amid escalating violence on the streets.  An AFP reporter said shots were fired from inside the Sri Lankan Prime Minister’s official residence Temple Trees, as thousands of protesters breached the main gate and torched a truck at the entrance. The police also fired tear gas to push back protesters retaliating against an attack on them earlier in the day by those loyal to Mr. Mahinda.  Police sources confirmed that shots were fired in the air to prevent the crowd breaching the inner security ring of the residence where Mr. Mahinda was holed up.",Politics
52,Shaheen Bagh residents see ‘divisive agenda’ behind drive,"Samridhi Tewari NEW DELHI  Syed Farhan, a Shaheen Bagh resident, observed the lone bulldozer brought by the South Delhi Municipal Corporation (SDMC) to his locality on Monday morning with great interest. “For a long time, the officials stood beside the bulldozer trying to spot an encroachment,” Farhan told The Hindu.  “After a few hours, the officials directed the bulldozer towards a temporary scaffolding. However, before the officials could take any action, many locals came forward and removed it themselves. Following this, the SDMC people left the spot.”  While the South civic body ended up not carrying out any ‘anti-encroachment’ activity, which was part of the “massive demolition campaign” promised by Mayor Mukesh Suryan last month, the presence of police personnel and a bulldozer ended up infuriating several residents here who saw a “divisive agenda” at play behind the entire exercise. Many of them protested against the drive.  “In a city like Delhi, it is common for municipalities to go after makeshift stalls and for the vendors to pack up and flee. But what is worrying is the manner in which specific areas and communities are being targeted,” said Mohammad Abuzar Chaudhary, a social activist and local resident. He added that the anti-encroachment drives were creating an environment of fear among poor Muslim families living in these areas.   A senior SDMC official said they did not find any temporary stalls in Shaheen Bagh causing obstruction in traffic movement.   “We wanted to remove these encroachments but the stall owners had already cleared them. During the drive, we noticed that a building had a scaffolding which was disrupting the right of way. It had to be removed as per protocol. This is a routine exercise, we were not trying to disrupt the peace in the area,” said the senior SDMC official.  One resident spoke in favour of the drive, arguing that makeshift stalls in the area were indeed obstructing movement.  “The residents of the area have no role to play as the vendors are from different areas. The vendors keep putting up their stalls wherever they wish and keep changing their locations,” said Syed Shamsher Alam.",Politics
53,"Biden Wants Ukraine Aid Passed Immediately, Separate From COVID-19 Funding","Democrats initially wanted to pair the aid packages together to ensure passage of both. The shift means Ukraine aid will likely move forward, but the fate of pandemic relief is uncertain.  President Joe Biden is shifting strategy with additional aid for Ukraine and more COVID-19 funding languishing for weeks: Pass them separately and prioritize emergency funds to counter the Russian invasion in order to avoid further delays.  The move is almost certain to ensure that tens of billions of dollars in new military, economic and humanitarian aid for Ukraine will pass in the near future. Like the last round of aid approved in March, there’s overwhelming bipartisan support in Congress for additional help for Ukraine as it enters the third month of Russia’s invasion. Biden urged swift passage, warning that he’s already “nearly exhausted” the previous funding of nearly $14 billion.  Late last month, Biden requested another $33 billion, and after conversations with leadership, he said in a statement he expects Congress will “likely to pass it in substantially the form I proposed.” The fate, however, of additional funding to restore the federal government’s coronavirus testing, vaccine and therapeutics capacity is much more unpredictable and could face significant roadblocks once again from Republicans and perhaps even some Democrats. As he proposed new Ukrainian aid, Biden reiterated his call for $22.5 billion in pandemic relief, though senators instead struck a much more slimmed down $10 billion bipartisan deal last month.  “I have been informed by Congressional leaders in both parties that such an addition would slow down action on the urgently needed Ukrainian aid – a view expressed strongly by several Congressional Republicans,” Biden said in a Monday statement. “Hence, I am prepared to accept that these two measures move separately, so that the Ukrainian aid bill can get to my desk right away.”  “However let me be clear: as vital as it is to help Ukraine combat Russian aggression, it is equally vital to help Americans combat COVID,” he added. “So I call on Congress to pass the Ukrainian Supplemental funding bill immediately, and get it to my desk in the next few days. And then, I urge Congress to move promptly on the COVID funding bill.”  Coronavirus funding, specifically, has been tied up in Congress for weeks. The Senate failed to advance the $10 billion in funding in early April after Republicans blocked the procedural vote. As a part of the bill, they wanted an amendment vote on delaying the end of Title 42, the public health order implemented by the Trump administration in 2020 allowing the expulsion of migrants who cross the border because of pandemic concerns.  Since Biden’s announcement that he’d wind down Title 42 on May 23, Republicans and a growing number of Democrats – moderates and ones facing tough reelection races in November – have been seeking a delay and want a detailed plan from the administration if there’s an influx of migrants at the border once it lifts. The plan, however, could be put on hold after a federal judge in Louisiana issued a temporary restraining order against reversing Title 42 before the May deadline.  Democrats were initially angling to pair the Ukraine and COVID-19 funding to ensure the latter passed and dare Republicans to vote against financial help for the eastern European country. Leadership and Biden saw that as the best chance to get pandemic aid through.  But now that the president wants to unlink them and pass Ukraine aid first, Democrats will now need to confront more political hurdles. If Republicans keep up their demands for a vote on Title 42 as part of any coronavirus funding, Democrats will need to decide whether to budge.  With a split 50-50 Senate, both aid packages will need to secure some Republican support in order to reach the 60-vote threshold to avoid the threat of a filibuster. While it seems very likely there will be more than 10 GOP votes for the Ukraine aid, the same isn’t certain for the other.",Politics
54,Anti-encroachment drive stalled in Delhi,"Krishnadas Rajagopal Muneef Khan New Delhi  The national capital witnessed another round of ‘bulldozer politics’ on Monday after the BJP-ruled South Delhi Municipal Corporation (SDMC) scheduled an anti-encroachment drive at Shaheen Bagh, the epicentre of a three-month-long agitation against the Citizenship (Amendment) Act beginning December 2019.  While the Supreme Court, unlike the previous instance when the North Delhi Municipal Corporation carried out demolitions in Jahangirpuri last month, refused to intervene or stay the exercise on a petition by the CPI(M)’s Delhi unit, the drive was halted due to stiff resistance from residents of Shaheen Bagh as hundreds of people gathered on the streets and atop buildings.  ‘Found already removed’  A senior SDMC official also said the encroachments that were previously found along the stretch were found to be “already removed”.",Politics
55,Man Beaten To Death For Using Speaker To Play Devotional Songs In Gujarat; 5 Arrested,"Ahmedabad: A 42-year-old man was beaten to death by six persons over a dispute about using a speaker to play devotional songs at a temple built inside a home in Gujarat's Mehsana district, police said on Friday. The police on Thursday arrested five out of six accused for the incident that took place at Mudarda village of the district on May 3, sub-inspector SB Chavda of Langhnaj police station said.  ""We have arrested five out of six persons named in the FIR. They allegedly attacked the victim Jaswant Thakor and his elder brother Ajit with sticks, following a verbal spat regarding a speaker installed by the Thakor family at a small temple built inside their house,"" Mr Chavda said.  An FIR was registered on May 4 on the basis of a complaint lodged by Ajit, and it stated that the Thakor family had built a small temple dedicated to Goddess Meldi in the premises of their house in Mudarda village. ",Politics
56,"S Jaishankar Says PM's 2017 Israel Visit Was ""Goosebump Moment"" For Him","New Delhi: Calling the relationship between India and Israel ""truly special"", External Affairs Minister (EAM) S Jaishankar on Thursday said that Prime Minister Narendra Modi's visit to Israel in 2017 was a ""goosebump moment"" for him. Mr Jaishankar made the remarks while addressing the gathering here for the celebration of 74 years of independence of Israel.  ""When I look back at our relationship, in the last several years that I have been associated with, for me the goosebumps moment in a way was at Tel Aviv when the PM visited Israel in July 2017, first Indian PM to visit Israel. And, since then our relationship has really taken off,"" the EAM said.  Mr Jaishankar said that both the countries are focussing on expanding the knowledge-based relationship which includes cooperation in innovation and research. He further said that Israel is an integral part of the 'Make in India' initiatives.  Talking about the future prospects, Mr Jaishankar mentioned, ""As I see the future of this relationship for me one of the most encouraging signs is intellectual, students in huge numbers are going from here to there, research project we are doing.""  Mr Jaishankar also touched upon the aspect of the new Quad consisting of India, Israel, UAE, and the US, where he hoped this group can play an important role in expanding economic cooperation in that region.  Israel's envoy to India, Sri Lanka and Bhutan Naor Gilon appreciated Jaishnakar's presence on the occasion of Israel's 74th Independence Day, and also on 30 years of diplomatic relations between India and Israel.  ""I've to quote our Guest of Honour who during his visit to Israel last October said that relations between us didn't start 30 years ago. It's a connection between very old civilizations which is probably the basis for very healthy bilateral relations, the two modern countries are having,"" Gilon said in his speech.  ""This occasion is particularly special for us as we're celebrating 30 years of our full diplomatic relations between India and Israel. We're also celebrating 75 years of our own independence and these significant milestones help us together to look at horizons of our expanding relationships,"" he added.  Mr Jaishankar mentioned the contributions of the Jewish community in India in various fields in his address and also appreciated Israel's role in the 'Make in India' initiatives.  Comments",Politics
57,Vladimir Putin Apologised For Russia Hitler Claims: Israel PM's Office,"Jerusalem, Undefined: Israel's Prime Minister Naftali Bennett said Thursday that Russian leader Vladimir Putin has apologised for remarks made by Moscow's top diplomat, Sergei Lavrov, who claimed Adolf Hitler may have had ""Jewish blood"".  The comments had sparked outrage in the Jewish state.  ""The Prime Minister accepted President Putin's apology for Lavrov's remarks and thanked him for clarifying his attitude towards the Jewish people and the memory of the Holocaust,"" Bennett's office said in a statement.   A Kremlin summary of the Bennett-Putin call, which came as Israel marked 74 years since the creation of the Jewish state, made no mention of a Putin apology.   It did, however, note that the leaders discussed the ""historic memory"" of the holocaust.   In an interview with an Italian media outlet released on Sunday, Lavrov claimed that Ukrainian President Volodymyr Zelensky ""puts forward an argument of what kind of Nazism can they have if he himself is Jewish"".  Lavrov, according to a transcript posted on the Russian foreign ministry website, then added: ""I could be wrong, but Hitler also had Jewish blood"".  Israeli Foreign Minister Yair Lapid labelled the comments ""an unforgivable and outrageous statement as well as a terrible historical error.""  Bennett denounced the comments as ""lies""that he said effectively ""accuse the Jews themselves of the most awful crimes in history"", perpetrated against themselves.   Russia's ambassador to Israel was summoned to ""clarify"" the remarks.   Israel has sought to tread a delicate line since Russia invaded Ukraine in February, with Bennett stressing Israel's close ties to both Moscow and Kyiv.  Bennett has in particular sought to preserve Russian cooperation with Israeli strikes in Syria, where Russian forces are on the ground.   Israel has so far refused Ukraine's requests for military support, instead suppling bullet proof vests and helmets for medical workers, as well as an Israeli field hospital.  Bennett has attempted to mediate in the conflict and is among a handful of world leaders to meet with Putin since the invasion, travelling to Moscow in early March.",Politics
