,title,news,type
68,Gokulam on the cusp of history,"Amitabha Das Sharma KOLKATA  Football in Kerala is riding the crest of fortune. After the state team won the Santosh Trophy barely a week ago, it is now the turn for Gokulam Kerala FC to take the I-League title back home and restart the celebrations.  The Malabarians have definitely held out the strong footballing tradition of the state in its performance while outgunning every opposition in the list to remain unbeaten for a record 16 matches and etch out a six-point lead on top of the current standings.  With just two rounds to go, a point from the penultimate match against Sreenidi Deccan FC on Tuesday will be enough to see Gokulam FC (on 40 points) retain the crown and become the first team in the 15-year history of the I-League to win back-to-back titles. The last team to attain something similar was the former Goa side Dempo SC but its feat is considered partial owing to a nomenclature problem.  Dempo won the National Football League in 2006-07 season and when it won the title again next season, the tournament’s name was changed to I-League.  Interestingly, the title can go Gokulam Kerala’s way even before it starts against Sreenidi Deccan, if second placed Mohammedan Sporting (on 34 points from 16) fails to win its match against Rajasthan United FC.  Gokulam Kerala coach Vincenzo Alberto Annese wished to wrap up the issue in the next outing but remained wary of the opponent which, he felt, had the knack for upstaging bigger opponents.  Tough task  “We know the importance of the game and have to put out our best to get the result in our favour. It is a tough task as the opponents always apply extra power when they are playing against the leader,” said Vincenzo Alberto. “I want my players to believe in their abilities like they have done in the previous matches.  “And if we stick to our plan then we can easily win the needed points,” he added.",Sports
69,Veteran Wawrinka rekindles fire with rare win in Rome,"AGENCE FRANCE-PRESSE ROME  Swiss veteran Stan Wawrinka insisted he still has the “fire” in him after registering his first victory in over a year with a 3-6, 7-5, 6-2 win over American Reilly Opelka in the first round of the Italian Open on Monday.  The 37-year-old, who has tumbled from his best ranking of No. 3 in the world to 361st, last tasted success in the opening round of the 2021 Australian Open when he beat Marton Fucsovics in five sets.  Rough start  This year, he had previously lost in the opening rounds in the only two tournaments he had entered — Marbella and Monte Carlo — after struggling with a foot injury that has dogged him since 2019.  “After two surgeries, at my age I could easily stop playing... but I still have this fire in me,” said Wawrinka. “I still believe that I can play great tennis. I still believe that I make some big results, maybe not now, but in a few months.”  The crowd cheered warmly as the three-time Grand Slam winner completed victory over the World No. 17 Opelka, a semifinalist here last year, in just over two hours.  “It feels great because I was away from tennis for so much time,” he said. “I did a lot of hard work to come back, so it feels great to finally win a match, to see that things are getting better.”  Important results (first round):  Men: Wawrinka bt Opelka 3-6, 7-5, 6-2; Shapovalov bt Sonego 7-6(5), 3-6, 6-3.  Women: Azarenka bt Golubic 6-3, 6-0; Halep bt Cornet 6-4, 6-4; Gauff bt Kerber 6-1, 6-4.",Sports
70,Arjun ties for second spot,"Arjun Erigaisi (4 points) played out a 59-move draw with David Navara in the seventh and final round to finish tied-second in the TePe Sigeman round-robin chess tournament in Malmo on Monday.  In Sunday’s sixth round, Arjun split the point with Michael Adams in 40 moves. USA’s Hans Moke Niemann won the title with five points after drawing the final round with Dutchman Jorden van Foreest.  The results: Seventh round: David Navara (Cze) drew with Arjun Erigaisi; Michael Adams (Eng) bt Saleh Salem (UAE); Jorden van Foreest (Ned) drew with Hans Moke Niemann (USA); Nils Grandelius (Swe) drew with Alexei Shirov (Esp).  Sixth round: Arjun drew with Adams; Salem bt Foreest; Niemann drew with Grandelius; Shirov lost to Navara.  Final standings: 1. Niemann 5 points; 2-4. Arjun, Adams, Grandelius (4); 5. Navara (3.5), 6 Foreest, 7. Salem (2.5), 8. Shirov (2).",Sports
71,Lovlina passes the Chen test,"Sports Bureau  In a repeat of her Tokyo Olympics quarterfinal bout against former World champion Nien-Chin Chen of Chinese Taipei, a confident Lovlina Borgohain recorded a narrow 3-2 win in a 70kg first round contest on the opening day of the World women’s boxing championships in Istanbul on Monday.  The Olympics bronze medallist from India executed her tactics well to emerge the winner in a tough bout featuring two 24-year-olds.  The taller Lovlina used her long reach well and moved in and out to land some solid punches on Chen and take the first round by a split verdict.  As the Taipei boxer stepped up the attack in the second round, Lovlina responded by maintaining the tempo of her game. The Indian kept herself out of Chen’s reach, battling from a safe distance and taking the upper hand in the third round.  In her first outing after the Tokyo Olympics in July last year, Lovlina — a two-time Worlds bronze medallist — met an opponent against whom she had a 1-2 head-to-head record.  Lovlina had finished with bronze medals in the 69kg weight class after losing to Chen — a World champion in 2018 and a bronze medallist in 2016 — in the semifinals of the 2018 World championships in Delhi and the 2019 Strandja Memorial event in Sofia, Bulgaria.  At the Tokyo Olympics, Lovlina beat the Taipei boxer in the quarterfinals before finishing with a bronze for reaching the semifinals. She became the second Indian woman boxer after Mary Kom, and the third overall from the country, to secure a medal at the Games.  Lovlina will meet Cindy Ngamba of Fair Chance Team (FCT) in the round-of-16 on Friday. FCT consists of sportspersons who were forced to leave their countries, often due to conflict.",Sports
72,"Asian Games 2022 postponed due to latest COVID-19 outbreak in China, fresh dates to be announced soon","The Asian Games scheduled to take place in the Chinese city of Hangzhou in September have been postponed until 2023 because of the COVID-19 situation, the governing Olympic Council of Asia (OCA) said on Friday. The 19th edition of the multi-sports Games, second in size only to the Summer Olympics, was scheduled to take place from Sept. 10-25 in the capital of Zhejiang province, some 175 kilometres southwest of China`s financial centre Shanghai.  The OCA said in a statement after its executive board meeting in Tashkent that the Hangzhou organising committee (HAGOC) had been well prepared to deliver the Games despite the ""global challenges"".  ""However, the ... decision was taken by all the stakeholders after carefully considering the pandemic situation and the size of the Games,"" it added. The new dates for the Games would be announced ""in the near future"". ""The name and the emblem of the 19th Asian Games will remain unchanged, and the OCA believes that the Games will achieve complete success through the joint efforts of all parties.""  Organisers had said in early April that all 56 competition venues for the Games had been completed as the city prepared to host more than 11,000 athletes from 44 nations and territories.",Sports
73,Sachin Tendulkar should have been allowed to score 200: Yuvraj Singh on Rahul Dravid's infamous Multan declaration,"One of the infamous stories in Indian cricket is that innings declaration done by Rahul Dravid during the 2004 Multan Test vs Pakistan.   Till date, fans and cricket experts are divided on the topic, which is whether captain Rahul Dravid was right in declaring innings when Sachin Tendulkar was still batting on 194.  ",Sports
74,Injured Suryakumar ruled out of IPL-15,"gence France-Presse Mumbai  Mumbai Indians batsman Suryakumar Yadav has been ruled out of the Indian Premier League with an arm injury, organisers said on Monday.  The 31-year-old, one of the leading run-scorers for the Mumbai side which has been knocked out of the playoffs race, suffered the blow in his team’s victory over Gujarat Titans on Friday.  “Mumbai Indians batter Suryakumar Yadav has been ruled out of the TATA IPL 2022 owing to a left forearm muscle injury,” the league said in a statement.  The top-order batsman, who was one of four players including skipper Rohit Sharma to be retained by the franchise ahead of this year’s auction, has scored 303 runs including three half-centuries in eight matches.",Sports
75,Indian men qualify for knockouts,"Press Trust of IndiaBangkok  The Indian men’s badminton team notched up its second successive win with a 5-0 thrashing of Canada in a Group C tie to qualify for the knockout round of the Thomas Cup here on Monday.  With its second impressive result, the Indian team, which defeated Germany 5-0 on Sunday, is certain to finish in the top two in the group.  World Championships silver medallist K. Srikanth fought back from a game down to beat Brian Yang 20-22, 21-11, 21-15 in 52 minutes to give India the lead.  The doubles pair of Satwiksairaj Rankireddy and Chirag Shetty then needed just 29 minutes to beat Jason Anthony Ho-Shue and Kevin Lee 21-12, 21-11 before World No. 23 H.S. Prannoy easily won his match against B.R. Sankeerth 21-15, 21-12 to make it 3-0.  The second doubles pair of Krishna Prasad Garaga and Vishnuvardhan Goud Panjala eased past Dong Adam and Nyl Yakura 21-15, 21-11 in 34 minutes.  The rout was completed when Priyanshu Rajawat beat Victor Lal 21-13, 20-22, 21-14 in the third men’s singles which lasted 52 minutes.  The Indians will play their final Group C match against Chinese Taipei on Wednesday.  The results: Thomas Cup: India bt Canada 5-0 [K. Srikanth bt Brian Yang 20-22, 21-11, 21-15; Satwiksairaj Rankireddy & Chirag Shetty bt Jason Anthony Ho-Shue & Kevin Lee 21-12, 21-11.  H.S. Prannoy bt B.R. Sankeerth 21-15, 21-12; Krishna Prasad Garaga & Vishnuvardhan Goud Panjala bt Dong Adam & Nyl Yakura 21-15, 21-11; Priyanshu Rajawat bt Victor Lal 21-13, 20-22, 21-14].",Sports
76,Karthik growing in stature as the ‘Finisher’ for RCB,".K. Ajith Kumar MUMBAI  Dinesh Karthik has been very much the Finisher for Royal Challengers Bangalore at this IPL.  That is a role he has been wanting to do for Team India too. A role he has been playing to great effect for the teams he plays for.  A few months before the coronavirus pandemic broke out, one recalls watching Karthik take apart the bowlers at the Vijay Hazare Trophy one-day tournament at Jaipur.  Leading the Tamil Nadu side, he chose to bat lower down the order and came up with 97 off 62 balls (against Bengal) and 65 not out off 28 balls (against Madhya Pradesh). “I want to do what M.S. Dhoni has been doing for India for many years,” he had said then.  He still has that fire in him to play for the country. “I have been trying everything to be part of the Indian team,” he had said last month after picking up the Player-of-the-Match award for his 34-ball 66 not out against Delhi Capitals at the Wankhede Stadium here.  On his return to the famed venue on Sunday, he got just eight balls to face against Sunrisers Hyderabad. He still hammered 30 not out.  That took his aggregate for the season so far to 274 runs off 137 balls, at a strike rate of 200 and an average of 68.50. He has made those runs with dazzling footwork and sublime timing.  You may not find too many better finishers in the game at the moment. Little wonder former England captain Michael Vaughan tweeted, “DK has to be in the Indian T20 World Cup team.”",Sports
77,Chhetri interacts with North East cricketers,"Press Trust of India Bengaluru  About 150-odd cricketers from North East and other Ranji Plate teams, camping at the National Cricket Academy, got a pleasant surprise when India’s football captain Sunil Chhetri dropped in after being invited by the BCCI.  The aim of NCA was to ensure that even cricketers from the region could connect with someone who enjoys an iconic status in the region and can narrate his own success story in club and international arena.  Chhetri did have his share of fun, taking part in fielding drills.  Chhetri did impress one and all with his smooth pick-up and throw during a fielding session as the campers watched in awe.  “He had a delightful fielding competition and shared some learnings from his own incredible journey in football with boys from north east and plate teams,” BCCI tweeted.  Later Chhetri joined NCA head V.V.S. Laxman for a one-on-one session with the cricketers, who are having a skills training session at the NCA.",Sports
